Timestamp: 16439 | X_pos: 0.0800037831068039 | Y_pos: -0.010289255529642105 | yaw: -1.6052634716033936 | front: 3.251 | back: 0.68 | left: 252 | right: 0.881 | down: 302 | 
Timestamp: 16539 | X_pos: 0.09110388159751892 | Y_pos: -0.0059692529030144215 | yaw: -1.7051775455474854 | front: 3.222 | back: 0.689 | left: 249 | right: 0.883 | down: 304 | 
Timestamp: 16639 | X_pos: 0.10354910045862198 | Y_pos: -0.004025856964290142 | yaw: -1.771897554397583 | front: 32.766 | back: 0.7 | left: 243 | right: 0.889 | down: 310 | 
Timestamp: 16739 | X_pos: 0.12033683061599731 | Y_pos: -0.0017656823620200157 | yaw: -1.9589838981628418 | front: 3.207 | back: 0.714 | left: 244 | right: 0.891 | down: 317 | 
Timestamp: 16839 | X_pos: 0.12967287003993988 | Y_pos: 5.276856245473027e-05 | yaw: -2.171961545944214 | front: 3.213 | back: 0.721 | left: 239 | right: 0.892 | down: 316 | 
Timestamp: 16939 | X_pos: 0.14359033107757568 | Y_pos: 0.0021045655012130737 | yaw: -2.264528751373291 | front: 3.199 | back: 0.734 | left: 234 | right: 0.895 | down: 319 | 
Timestamp: 17039 | X_pos: 0.15284447371959686 | Y_pos: 0.0034994252491742373 | yaw: -2.3344204425811768 | front: 3.161 | back: 0.741 | left: 234 | right: 0.899 | down: 321 | 
Timestamp: 17139 | X_pos: 0.16562920808792114 | Y_pos: 0.0046062590554356575 | yaw: -2.39003849029541 | front: 32.766 | back: 0.755 | left: 237 | right: 0.9 | down: 326 | 
Timestamp: 17239 | X_pos: 0.18244320154190063 | Y_pos: 0.003917459864169359 | yaw: -2.5311286449432373 | front: 32.766 | back: 0.763 | left: 235 | right: 0.902 | down: 324 | 
Timestamp: 17339 | X_pos: 0.19967755675315857 | Y_pos: 0.0029138405807316303 | yaw: -2.716770648956299 | front: 3.156 | back: 0.77 | left: 238 | right: 0.9 | down: 323 | 
